sa3_code,Area_Label,Census_Year,Estimated_Resident_Population,Population_Density_Per_Km2,Estimated resident population - males (no.),Estimated resident population - females (no.),Median_Age_Males,Median_Age_Females,Median_Age_Overall,Males - 85 and over (no.),Females - 85 and over (no.),Number_of_Births,Number_of_Deaths,Standardised_Death_Rate,Overseas_Arrivals,Overseas_Departures,Net_Overseas_Migration,Indigenous_Population,Indigenous_Population_Percent,Born_in_Oceania_Excluding_Australia_Percent,Born_in_North_West_Europe_Percent,Born_in_Southern_Eastern_Europe_Percent,Born_in_North_Africa_Middle_East_Percent,Born_in_South_East_Asia_Percent,Born_in_North_East_Asia_Percent,Born_in_Southern_Central_Asia_Percent,Born_in_Americas_Percent,Born_in_Sub_Saharan_Africa_Percent,Total_Born_Overseas,Total_Born_Overseas_Percent,Number_of_Australian_Citizens,Number_of_Non_Australian_Citizens,Australian_Citizenship_Not_Stated,Australian_Citizen_Percent,Non_Australian_Citizen_Percent,Australian_Citizenship_Not_Stated_Percent,Speaks_Other_Language_At_Home,Speaks_Other_Language_At_Home_Percent,Males_Under_14,Females_Under_14,Males_15_to_24,Females_15_to_24,Males_25_to_34,Females_25_to_34,Males_35_to_44,Females_35_to_44,Males_45_to_54,Females_45_to_54,Males_55_to_64,Females_55_to_64,Males_65_to_74,Females_65_to_74,Males_75_to_84,Females_75_to_84,Males_85_and_over,Females_85_and_over
10470,Bathurst Regional,2017,42558.00,11.10,21459.00,21099.00,34.90,37.80,36.30,303.00,577.00,497.00,309.00,6.00,294.00,112.00,182.00,,,,,,,,,,,,,,,,,,,,,,4418.0,4100.0,3300.0,3182.0,3030.0,2598.0,2471.0,2432.0,2583.0,2642.0,2477.0,2508.0,1951.0,1934.0,926.0,1126.0,303.00,577.00
10470,Bathurst Regional,2018,42834.00,11.20,21645.00,21189.00,35.10,37.90,36.40,319.00,592.00,550.00,326.00,6.10,284.00,123.00,161.00,,,,,,,,,,,,,,,,,,,,,,4415.0,4091.0,3312.0,3148.0,3057.0,2657.0,2464.0,2406.0,2602.0,2652.0,2498.0,2503.0,2008.0,1982.0,970.0,1158.0,319.00,592.00
10470,Bathurst Regional,2019,43137.00,11.30,21842.00,21295.00,35.40,38.10,36.70,307.00,598.00,495.00,329.00,6.00,289.00,135.00,154.00,,,,,,,,,,,,,,,,,,,,,,4383.0,4083.0,3333.0,3085.0,3088.0,2725.0,2484.0,2388.0,2619.0,2640.0,2535.0,2567.0,2055.0,2019.0,1038.0,1190.0,307.00,598.00
10470,Bathurst Regional,2020,43355.00,11.40,21962.00,21393.00,36.20,39.00,37.50,336.00,636.00,473.00,297.00,5.70,255.00,154.00,101.00,,,,,,,,,,,,,,,,,,,,,,4343.0,4045.0,3206.0,2920.0,3073.0,2756.0,2570.0,2395.0,2627.0,2650.0,2558.0,2664.0,2137.0,2097.0,1112.0,1230.0,336.00,636.00
10470,Bathurst Regional,2021,43653.00,11.40,22158.00,21495.00,36.90,39.90,38.30,346.00,648.00,571.00,336.00,5.50,109.00,92.00,17.00,3153.00,7.20,1.30,3.30,0.50,0.40,1.20,0.40,1.80,0.50,0.50,4351.00,10.00,38723.00,1926.00,2919.00,88.90,4.40,6.70,2371.00,5.40,4318.0,4023.0,3109.0,2759.0,3056.0,2760.0,2648.0,2452.0,2662.0,2706.0,2631.0,2677.0,2182.0,2189.0,1206.0,1281.0,346.00,648.00
10470,Bathurst Regional,2022,44074.00,11.50,,,,,,,,,,,264.00,127.00,137.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (NSW),2011,,,,,,,,,,,,,,,,1186.00,0.90,,,,,,,,,,,,108511.00,18789.00,9396.00,79.40,13.70,6.90,70253.00,51.40,,,,,,,,,,,,,,,,,,
10500,Bayside (NSW),2016,,,,,,,,,,2337.00,1040.00,5.20,,,,1556.00,1.00,2.60,3.20,9.00,4.50,6.70,9.50,6.80,3.00,0.70,71722.00,46.00,115007.00,30294.00,10754.00,73.70,19.40,6.90,82335.00,52.80,,,,,,,,,,,,,,,,,,
10500,Bayside (NSW),2017,168664.00,3331.90,84440.00,84224.00,34.50,35.90,35.20,1419.00,2176.00,2313.00,1005.00,5.10,8202.00,3137.00,5065.00,,,,,,,,,,,,,,,,,,,,,,14105.0,13163.0,11207.0,10723.0,17615.0,16973.0,12485.0,11944.0,9914.0,10096.0,8012.0,8424.0,6103.0,6462.0,3580.0,4263.0,1419.00,2176.00
10500,Bayside (NSW),2018,171147.00,3381.00,85748.00,85399.00,34.50,35.90,35.20,1440.00,2163.00,2466.00,1035.00,5.00,8112.00,3473.00,4639.00,,,,,,,,,,,,,,,,,,,,,,14158.0,13196.0,11428.0,10860.0,18100.0,17307.0,12704.0,12162.0,9941.0,10220.0,8161.0,8616.0,6210.0,6597.0,3606.0,4278.0,1440.00,2163.00
10500,Bayside (NSW),2019,173590.00,3429.20,87091.00,86499.00,34.50,36.00,35.20,1473.00,2148.00,2411.00,1004.00,4.90,8331.00,3814.00,4517.00,,,,,,,,,,,,,,,,,,,,,,14215.0,13193.0,11669.0,10895.0,18567.0,17670.0,12949.0,12433.0,9972.0,10298.0,8287.0,8742.0,6272.0,6740.0,3687.0,4380.0,1473.00,2148.00
10500,Bayside (NSW),2020,175762.00,3472.20,88154.00,87608.00,34.60,36.20,35.40,1508.00,2191.00,2193.00,982.00,4.80,7407.00,4303.00,3104.00,,,,,,,,,,,,,,,,,,,,,,14084.0,13132.0,11676.0,10771.0,18940.0,18095.0,13275.0,12671.0,10066.0,10443.0,8438.0,8886.0,6339.0,6909.0,3828.0,4510.0,1508.00,2191.00
