State_and_territory,SA3_name,Year,Participation_Per
Qld,Port Douglas - Daintree,2016,38.5
Qld,Tablelands (East) - Kuranda,2016,44
Qld,Darling Downs (West) - Maranoa,2016,39
Qld,Darling Downs - East,2016,41.4
Qld,Granite Belt,2016,42.5
Qld,Central Highlands (Qld),2016,34.5
Qld,Gladstone - Biloela,2016,38.7
Qld,Rockhampton,2016,41.9
Qld,Broadbeach - Burleigh,2016,40.1
Qld,Coolangatta,2016,38.9
Qld,Gold Coast - North,2016,39.3
Qld,Gold Coast Hinterland,2016,40.8
Qld,Mudgeeraba - Tallebudgera,2016,39.3
Qld,Nerang,2016,38.1
Qld,Ormeau - Oxenford,2016,37.2
Qld,Robina,2016,38.8
Qld,Southport,2016,37.4
Qld,Surfers Paradise,2016,37.3
Qld,Forest Lake - Oxley,2016,36.6
Qld,Ipswich Hinterland,2016,39.9
Qld,Ipswich Inner,2016,36.4
Qld,Springfield - Redbank,2016,33.4
Qld,Beaudesert,2016,39
Qld,Beenleigh,2016,36.1
Qld,Browns Plains,2016,33.1
Qld,Jimboomba,2016,36.7
Qld,Loganlea - Carbrook,2016,37.9
Qld,Springwood - Kingston,2016,34.2
Qld,Bowen Basin - North,2016,39.1
Qld,Mackay,2016,44.8
Qld,Whitsunday,2016,41.4
Qld,Bribie - Beachmere,2016,47.3
Qld,Caboolture,2016,38
Qld,Caboolture Hinterland,2016,44.1
Qld,Narangba - Burpengary,2016,41
Qld,Redcliffe,2016,42.4
Qld,Hills District,2016,44.2
Qld,North Lakes,2016,41.3
Qld,Strathpine,2016,41.6
Qld,Far North,2016,26.5
Qld,Outback - North,2016,25.8
Qld,Outback - South,2016,38.6
Qld,Buderim,2016,45
Qld,Caloundra,2016,46.1
Qld,Maroochy,2016,44.3
Qld,Nambour - Pomona,2016,43.5
Qld,Noosa,2016,45
Qld,Sunshine Coast Hinterland,2016,45.5
Qld,Toowoomba,2016,42.3
Qld,Charters Towers - Ayr - Ingham,2016,36.6
Qld,Townsville,2016,35.7
Qld,Bundaberg,2016,47.5
Qld,Burnett,2016,45.7
Qld,Gympie - Cooloola,2016,45.4
Qld,Hervey Bay,2016,47.6
Qld,Maryborough,2016,45.5
WA,Augusta - Margaret River - Busselton,2016,50
WA,Bunbury,2016,45
WA,Manjimup,2016,50.6
WA,Mandurah,2016,47.2
WA,Cottesloe - Claremont,2016,45.1
WA,Perth City,2016,41.4
WA,Bayswater - Bassendean,2016,41.5
WA,Mundaring,2016,44.6
WA,Swan,2016,38.1
WA,Joondalup,2016,47.9
WA,Stirling,2016,43.6
WA,Wanneroo,2016,40.2
WA,Armadale,2016,40
WA,Belmont - Victoria Park,2016,38.5
WA,Canning,2016,43.3
WA,Gosnells,2016,40.1
WA,Kalamunda,2016,44
WA,Serpentine - Jarrahdale,2016,41.9
WA,South Perth,2016,43.9
WA,Cockburn,2016,40.4
WA,Fremantle,2016,43.9
WA,Kwinana,2016,34.3
WA,Melville,2016,48
WA,Rockingham,2016,42.2
WA,Esperance,2016,47.7
WA,Gascoyne,2016,33.3
WA,Goldfields,2016,29.8
WA,Kimberley,2016,22.7
WA,Mid West,2016,41.6
WA,Pilbara,2016,24.7
WA,Albany,2016,49.2
WA,Wheat Belt - North,2016,42.8
WA,Wheat Belt - South,2016,45.1
SA,Adelaide City,2016,40.8
SA,Adelaide Hills,2016,49.2
SA,Burnside,2016,50.1
SA,Campbelltown (SA),2016,46
SA,Norwood - Payneham - St Peters,2016,46.6
SA,Prospect - Walkerville,2016,45.4
SA,Unley,2016,46.8
SA,Gawler - Two Wells,2016,45
SA,Playford,2016,37.5
SA,Port Adelaide - East,2016,43.8
SA,Salisbury,2016,42.4
SA,Tea Tree Gully,2016,50.8
SA,Holdfast Bay,2016,53.8
SA,Marion,2016,49.5
SA,Mitcham,2016,51.1
SA,Onkaparinga,2016,48.7
SA,Charles Sturt,2016,45.9
SA,Port Adelaide - West,2016,40.6
SA,West Torrens,2016,44.8
SA,Barossa,2016,48.9
SA,Lower North,2016,47.5
SA,Mid North,2016,46
SA,Yorke Peninsula,2016,54.4
SA,Eyre Peninsula and South West,2016,45.4
SA,Outback - North and East,2016,40.1
SA,Fleurieu - Kangaroo Island,2016,54.5
SA,Limestone Coast,2016,46.2
SA,Murray and Mallee,2016,47.2
Tas,Brighton,2016,41.6
Tas,Hobart - North East,2016,48.6
Tas,Hobart - North West,2016,40.2
Tas,Hobart - South and West,2016,52.1
Tas,Hobart Inner,2016,47.8
Tas,Sorell - Dodges Ferry,2016,44.1
Tas,Launceston,2016,45.7
Tas,Meander Valley - West Tamar,2016,48.4
Tas,North East,2016,45.7
Tas,Central Highlands (Tas.),2016,40.4
Tas,Huon - Bruny Island,2016,48.4
Tas,South East Coast,2016,51.3
Tas,Burnie - Ulverstone,2016,47.2
Tas,Devonport,2016,47.9
Tas,West Coast,2016,42.1
ACT,Belconnen,2016,43.6
ACT,Cotter - Namadgi,2016,41.38559471
ACT,Fyshwick - Pialligo - Hume,2016,41.38559471
ACT,Gungahlin,2016,41.5
ACT,North Canberra,2016,43
ACT,South Canberra,2016,43.3
ACT,Tuggeranong,2016,42.5
ACT,Weston Creek,2016,48.7
ACT,Woden,2016,46.6
NT,Darwin City,2016,31.8
NT,Darwin Suburbs,2016,32.3
NT,Litchfield,2016,32.7
NT,Palmerston,2016,28.1
NT,Alice Springs,2016,25.6
NT,Barkly,2016,16.3
NT,Daly - Tiwi - West Arnhem,2016,23.4
NT,East Arnhem,2016,14
NT,Katherine,2016,19.8
NSW,Goulburn - Yass,2017,40.8
NSW,Queanbeyan,2017,39.9
NSW,Snowy Mountains,2017,41.8
NSW,South Coast,2017,46.8
NSW,Gosford,2017,39.2
NSW,Wyong,2017,37.5
NSW,Bathurst,2017,40.8
NSW,Lachlan Valley,2017,38.4
NSW,Lithgow - Mudgee,2017,39.8
NSW,Orange,2017,39.8
NSW,Clarence Valley,2017,42
NSW,Coffs Harbour,2017,43
NSW,Bourke - Cobar - Coonamble,2017,30.1
NSW,Broken Hill and Far West,2017,35.3
NSW,Dubbo,2017,36.6
NSW,Lower Hunter,2017,38.6
NSW,Maitland,2017,41.3
NSW,Port Stephens,2017,44.8
NSW,Upper Hunter,2017,37.5
NSW,Dapto - Port Kembla,2017,37.2
NSW,Illawarra Catchment Reserve,2017,41.38559471
NSW,Kiama - Shellharbour,2017,41.7
NSW,Wollongong,2017,40
NSW,Great Lakes,2017,46
NSW,Kempsey - Nambucca,2017,40.5
