SA3_name,Latitude,Longitude
Parramatta,-33.886166,151.139472
Parramatta,-33.886166,151.139472
Parramatta,-33.886166,151.139472
Parramatta,-33.886166,151.139472
Pennant Hills - Epping,-33.758433,151.049106
Pennant Hills - Epping,-33.758433,151.049106
Pennant Hills - Epping,-33.758433,151.049106
Pennant Hills - Epping,-33.758433,151.049106
Pennant Hills - Epping,-33.758433,151.049106
Pennant Hills - Epping,-33.758433,151.049106
Ryde - Hunters Hill,-33.7932,151.12
Ryde - Hunters Hill,-33.7932,151.12
Ryde - Hunters Hill,-33.7932,151.12
Ryde - Hunters Hill,-33.7932,151.12
Ryde - Hunters Hill,-33.7932,151.12
Ryde - Hunters Hill,-33.7932,151.12
Bringelly - Green Valley,-33.933109,150.812031
Bringelly - Green Valley,-33.933109,150.812031
Bringelly - Green Valley,-33.933109,150.812031
Bringelly - Green Valley,-33.933109,150.812031
Bringelly - Green Valley,-33.933109,150.812031
Bringelly - Green Valley,-33.933109,150.812031
Fairfield,-33.8498,150.911
Fairfield,-33.8498,150.911
Fairfield,-33.8498,150.911
Fairfield,-33.8498,150.911
Fairfield,-33.8498,150.911
Fairfield,-33.8498,150.911
Liverpool,-33.888327,151.103632
Liverpool,-33.888327,151.103632
Liverpool,-33.888327,151.103632
Liverpool,-33.888327,151.103632
Liverpool,-33.888327,151.103632
Liverpool,-33.888327,151.103632
Cronulla - Miranda - Caringbah,-34.035878,151.107201
Cronulla - Miranda - Caringbah,-34.035878,151.107201
Cronulla - Miranda - Caringbah,-34.035878,151.107201
Cronulla - Miranda - Caringbah,-34.035878,151.107201
Cronulla - Miranda - Caringbah,-34.035878,151.107201
Cronulla - Miranda - Caringbah,-34.035878,151.107201
Sutherland - Menai - Heathcote,-34.015705,151.0622
Sutherland - Menai - Heathcote,-34.015705,151.0622
Sutherland - Menai - Heathcote,-34.015705,151.0622
Sutherland - Menai - Heathcote,-34.015705,151.0622
Sutherland - Menai - Heathcote,-34.015705,151.0622
Sutherland - Menai - Heathcote,-34.015705,151.0622
Ballarat,-37.571941,143.864505
Ballarat,-37.571941,143.864505
Ballarat,-37.571941,143.864505
Ballarat,-37.571941,143.864505
Ballarat,-37.571941,143.864505
Ballarat,-37.571941,143.864505
Creswick - Daylesford - Ballan,-37.5878,144.123664
Creswick - Daylesford - Ballan,-37.5878,144.123664
Creswick - Daylesford - Ballan,-37.5878,144.123664
Creswick - Daylesford - Ballan,-37.5878,144.123664
Creswick - Daylesford - Ballan,-37.5878,144.123664
Creswick - Daylesford - Ballan,-37.5878,144.123664
Maryborough - Pyrenees,-37.252718,143.815613
Maryborough - Pyrenees,-37.252718,143.815613
Maryborough - Pyrenees,-37.252718,143.815613
Maryborough - Pyrenees,-37.252718,143.815613
Maryborough - Pyrenees,-37.252718,143.815613
Maryborough - Pyrenees,-37.252718,143.815613
Bendigo,-36.764269,144.285267
Bendigo,-36.764269,144.285267
Bendigo,-36.764269,144.285267
Bendigo,-36.764269,144.285267
Bendigo,-36.764269,144.285267
Bendigo,-36.764269,144.285267
Heathcote - Castlemaine - Kyneton,-37.334655,143.907186
Heathcote - Castlemaine - Kyneton,-37.334655,143.907186
Heathcote - Castlemaine - Kyneton,-37.334655,143.907186
Heathcote - Castlemaine - Kyneton,-37.334655,143.907186
Heathcote - Castlemaine - Kyneton,-37.334655,143.907186
Heathcote - Castlemaine - Kyneton,-37.334655,143.907186
Loddon - Elmore,-36.957983,144.05651
Loddon - Elmore,-36.957983,144.05651
Loddon - Elmore,-36.957983,144.05651
Loddon - Elmore,-36.957983,144.05651
Loddon - Elmore,-36.957983,144.05651
Loddon - Elmore,-36.957983,144.05651
Barwon - West,-38.263005,144.174411
Barwon - West,-38.263005,144.174411
Barwon - West,-38.263005,144.174411
Barwon - West,-38.263005,144.174411
Barwon - West,-38.263005,144.174411
Barwon - West,-38.263005,144.174411
Geelong,-38.039958,144.422666
Geelong,-38.039958,144.422666
Geelong,-38.039958,144.422666
Geelong,-38.039958,144.422666
Geelong,-38.039958,144.422666
Geelong,-38.039958,144.422666
Surf Coast - Bellarine Peninsula,-38.215906,144.334005
Surf Coast - Bellarine Peninsula,-38.215906,144.334005
Surf Coast - Bellarine Peninsula,-38.215906,144.334005
Surf Coast - Bellarine Peninsula,-38.215906,144.334005
Surf Coast - Bellarine Peninsula,-38.215906,144.334005
Surf Coast - Bellarine Peninsula,-38.215906,144.334005
Upper Goulburn Valley,-37.171788,144.544716
Upper Goulburn Valley,-37.171788,144.544716
Upper Goulburn Valley,-37.171788,144.544716
Upper Goulburn Valley,-37.171788,144.544716
Upper Goulburn Valley,-37.171788,144.544716
Upper Goulburn Valley,-37.171788,144.544716
Wangaratta - Benalla,-36.786777,145.565512
Wangaratta - Benalla,-36.786777,145.565512
Wangaratta - Benalla,-36.786777,145.565512
Wangaratta - Benalla,-36.786777,145.565512
Wangaratta - Benalla,-36.786777,145.565512
Wangaratta - Benalla,-36.786777,145.565512
Wodonga - Alpine,-36.016196,147.026549
Wodonga - Alpine,-36.016196,147.026549
Wodonga - Alpine,-36.016196,147.026549
Wodonga - Alpine,-36.016196,147.026549
Wodonga - Alpine,-36.016196,147.026549
Wodonga - Alpine,-36.016196,147.026549
Baw Baw,-38.096289,145.867337
Baw Baw,-38.096289,145.867337
Baw Baw,-38.096289,145.867337
Baw Baw,-38.096289,145.867337
Baw Baw,-38.096289,145.867337
Baw Baw,-38.096289,145.867337
Gippsland - East,-36.865206,148.701564
Gippsland - East,-36.865206,148.701564
Gippsland - East,-36.865206,148.701564
Gippsland - East,-36.865206,148.701564
Gippsland - East,-36.865206,148.701564
Gippsland - East,-36.865206,148.701564
Gippsland - South West,-38.290637,146.175271
Gippsland - South West,-38.290637,146.175271
Gippsland - South West,-38.290637,146.175271
Gippsland - South West,-38.290637,146.175271
Gippsland - South West,-38.290637,146.175271
Gippsland - South West,-38.290637,146.175271
Latrobe Valley,-38.245215,146.424457
Latrobe Valley,-38.245215,146.424457
Latrobe Valley,-38.245215,146.424457
Latrobe Valley,-38.245215,146.424457
Latrobe Valley,-38.245215,146.424457
Latrobe Valley,-38.245215,146.424457
Wellington,-36.894465,146.256507
Wellington,-36.894465,146.256507
Wellington,-36.894465,146.256507
Wellington,-36.894465,146.256507
Wellington,-36.894465,146.256507
Wellington,-36.894465,146.256507
Brunswick - Coburg,-37.766292,144.960108
Brunswick - Coburg,-37.766292,144.960108
Brunswick - Coburg,-37.766292,144.960108
Brunswick - Coburg,-37.766292,144.960108
Brunswick - Coburg,-37.766292,144.960108
Brunswick - Coburg,-37.766292,144.960108
Darebin - South,-37.759426,145.007006
Darebin - South,-37.759426,145.007006
Darebin - South,-37.759426,145.007006
Darebin - South,-37.759426,145.007006
Darebin - South,-37.759426,145.007006
Darebin - South,-37.759426,145.007006
Essendon,-37.766184,144.922995
Essendon,-37.766184,144.922995
Essendon,-37.766184,144.922995
Essendon,-37.766184,144.922995
Essendon,-37.766184,144.922995
Essendon,-37.766184,144.922995
Melbourne City,-37.81443733,144.9825846
Melbourne City,-37.81443733,144.9825846
Melbourne City,-37.81443733,144.9825846
Melbourne City,-37.81443733,144.9825846
Melbourne City,-37.81443733,144.9825846
Melbourne City,-37.81443733,144.9825846
Port Phillip,-37.81443733,144.9825846
Port Phillip,-37.81443733,144.9825846
Port Phillip,-37.81443733,144.9825846
Port Phillip,-37.81443733,144.9825846
Port Phillip,-37.81443733,144.9825846
Port Phillip,-37.81443733,144.9825846
Stonnington - West,-37.840679,144.991264
Stonnington - West,-37.840679,144.991264
Stonnington - West,-37.840679,144.991264
Stonnington - West,-37.840679,144.991264
Stonnington - West,-37.840679,144.991264
Stonnington - West,-37.840679,144.991264
Yarra,-37.786971,144.96724
Yarra,-37.786971,144.96724
Yarra,-37.786971,144.96724
Yarra,-37.786971,144.96724
Yarra,-37.786971,144.96724
Yarra,-37.786971,144.96724
Boroondara,-37.807397,145.036575
Boroondara,-37.807397,145.036575
Boroondara,-37.807397,145.036575
Boroondara,-37.807397,145.036575
Boroondara,-37.807397,145.036575
Boroondara,-37.807397,145.036575
Manningham - West,-37.758335,145.142675
Manningham - West,-37.758335,145.142675
Manningham - West,-37.758335,145.142675
Manningham - West,-37.758335,145.142675
Manningham - West,-37.758335,145.142675
Manningham - West,-37.758335,145.142675
Whitehorse - West,-37.793695,145.081714
Whitehorse - West,-37.793695,145.081714
Whitehorse - West,-37.793695,145.081714
Whitehorse - West,-37.793695,145.081714
