State/territory,SA3 code,SA3 name,Participated,Invited,Participation (%),Year
Vic,20401,Upper Goulburn Valley,"7,957","17,466",45.6,2020-2021
Vic,20402,Wangaratta - Benalla,"7,034","14,260",49.3,2020-2021
Vic,20403,Wodonga - Alpine,"9,982","20,810",48,2020-2021
Vic,20501,Baw Baw,"6,656","14,147",47,2020-2021
Vic,20502,Gippsland - East,"8,224","16,246",50.6,2020-2021
Vic,20503,Gippsland - South West,"10,637","21,514",49.4,2020-2021
Vic,20504,Latrobe Valley,"9,515","21,403",44.5,2020-2021
Vic,20505,Wellington,"6,034","13,428",44.9,2020-2021
Vic,20601,Brunswick - Coburg,"7,956","18,530",42.9,2020-2021
Vic,20602,Darebin - South,"5,798","12,262",47.3,2020-2021
Vic,20603,Essendon,"7,515","16,209",46.4,2020-2021
Vic,20604,Melbourne City,"8,579","24,708",34.7,2020-2021
Vic,20605,Port Phillip,"10,487","25,459",41.2,2020-2021
Vic,20606,Stonnington - West,"5,575","14,081",39.6,2020-2021
Vic,20607,Yarra,"8,521","19,290",44.2,2020-2021
Vic,20701,Boroondara,"20,599","43,219",47.7,2020-2021
Vic,20702,Manningham - West,"11,493","26,012",44.2,2020-2021
Vic,20703,Whitehorse - West,"11,677","24,809",47.1,2020-2021
Vic,20801,Bayside,"13,922","27,883",49.9,2020-2021
Vic,20802,Glen Eira,"15,090","35,287",42.8,2020-2021
Vic,20803,Kingston,"13,703","30,895",44.4,2020-2021
Vic,20804,Stonnington - East,"4,707","10,085",46.7,2020-2021
Vic,20901,Banyule,"15,235","31,137",48.9,2020-2021
Vic,20902,Darebin - North,"8,510","21,264",40,2020-2021
Vic,20903,Nillumbik - Kinglake,"9,703","18,925",51.3,2020-2021
Vic,20904,Whittlesea - Wallan,"20,806","51,562",40.4,2020-2021
Vic,21001,Keilor,"7,301","15,631",46.7,2020-2021
Vic,21002,Macedon Ranges,"4,170","8,609",48.4,2020-2021
Vic,21003,Moreland - North,"6,205","15,714",39.5,2020-2021
Vic,21004,Sunbury,"4,852","10,738",45.2,2020-2021
Vic,21005,Tullamarine - Broadmeadows,"14,911","40,277",37,2020-2021
Vic,21101,Knox,"18,681","41,772",44.7,2020-2021
Vic,21102,Manningham - East,"3,807","7,669",49.6,2020-2021
Vic,21103,Maroondah,"12,904","27,611",46.7,2020-2021
Vic,21104,Whitehorse - East,"7,498","15,576",48.1,2020-2021
Vic,21105,Yarra Ranges,"18,601","41,059",45.3,2020-2021
Vic,21201,Cardinia,"9,636","23,125",41.7,2020-2021
Vic,21202,Casey - North,"13,215","32,978",40.1,2020-2021
Vic,21203,Casey - South,"13,772","38,339",35.9,2020-2021
Vic,21204,Dandenong,"17,110","44,646",38.3,2020-2021
Vic,21205,Monash,"18,653","42,955",43.4,2020-2021
Vic,21301,Brimbank,"19,070","47,219",40.4,2020-2021
Vic,21302,Hobsons Bay,"10,080","22,372",45.1,2020-2021
Vic,21303,Maribyrnong,"7,467","17,690",42.2,2020-2021
Vic,21304,Melton - Bacchus Marsh,"14,047","36,144",38.9,2020-2021
Vic,21305,Wyndham,"17,678","46,167",38.3,2020-2021
Vic,21401,Frankston,"13,568","34,541",39.3,2020-2021
Vic,21402,Mornington Peninsula,"21,714","46,299",46.9,2020-2021
Vic,21501,Grampians,"7,881","17,566",44.9,2020-2021
Vic,21502,Mildura,"5,920","14,670",40.4,2020-2021
Vic,21503,Murray River - Swan Hill,"4,899","11,032",44.4,2020-2021
Vic,21601,Campaspe,"5,143","11,346",45.3,2020-2021
Vic,21602,Moira,"4,194","9,256",45.3,2020-2021
Vic,21603,Shepparton,"7,747","17,291",44.8,2020-2021
Vic,21701,Glenelg - Southern Grampians,"5,518","11,875",46.5,2020-2021
Vic,21703,Colac - Corangamite,"4,987","11,463",43.5,2020-2021
Vic,21704,Warrnambool,"6,736","14,478",46.5,2020-2021
Qld,30101,Capalaba,"7,443","18,967",39.2,2020-2021
Qld,30102,Cleveland - Stradbroke,"9,994","25,167",39.7,2020-2021
Qld,30103,Wynnum - Manly,"6,653","17,383",38.3,2020-2021
Qld,30201,Bald Hills - Everton Park,"3,897","9,072",43,2020-2021
Qld,30202,Chermside,"5,849","15,253",38.3,2020-2021
Qld,30203,Nundah,"3,357","9,171",36.6,2020-2021
Qld,30204,Sandgate,"5,538","14,077",39.3,2020-2021
Qld,30301,Carindale,"4,414","10,994",40.1,2020-2021
Qld,30302,Holland Park - Yeronga,"5,522","14,852",37.2,2020-2021
Qld,30303,Mt Gravatt,"6,433","16,962",37.9,2020-2021
Qld,30304,Nathan,"2,937","7,864",37.3,2020-2021
Qld,30305,Rocklea - Acacia Ridge,"4,677","13,053",35.8,2020-2021
Qld,30306,Sunnybank,"3,808","10,180",37.4,2020-2021
Qld,30401,Centenary,"3,212","7,649",42,2020-2021
Qld,30402,Kenmore - Brookfield - Moggill,"4,858","11,305",43,2020-2021
Qld,30403,Sherwood - Indooroopilly,"4,028","9,873",40.8,2020-2021
Qld,30404,The Gap - Enoggera,"5,037","12,031",41.9,2020-2021
Qld,30501,Brisbane Inner,"4,925","14,644",33.6,2020-2021
Qld,30502,Brisbane Inner - East,"3,402","8,922",38.1,2020-2021
Qld,30503,Brisbane Inner - North,"7,165","18,742",38.2,2020-2021
Qld,30504,Brisbane Inner - West,"4,733","11,898",39.8,2020-2021
Qld,30601,Cairns - North,"5,399","13,756",39.2,2020-2021
Qld,30602,Cairns - South,"9,221","27,023",34.1,2020-2021
Qld,30603,Innisfail - Cassowary Coast,"3,459","9,295",37.2,2020-2021
Qld,30604,Port Douglas - Daintree,"1,396","3,729",37.4,2020-2021
Qld,30605,Tablelands (East) - Kuranda,"5,420","13,681",39.6,2020-2021
Qld,30701,Darling Downs (West) - Maranoa,"3,522","10,375",33.9,2020-2021
Qld,30702,Darling Downs - East,"4,074","10,924",37.3,2020-2021
Qld,30703,Granite Belt,"4,806","12,222",39.3,2020-2021
Qld,30801,Central Highlands (Qld),"1,591","5,227",30.4,2020-2021
Qld,30803,Rockhampton,"11,535","30,349",38,2020-2021
Qld,30804,Biloela,"1,079","2,993",36.1,2020-2021
Qld,30805,Gladstone,"4,900","14,574",33.6,2020-2021
Qld,30901,Broadbeach - Burleigh,"6,958","17,560",39.6,2020-2021
Qld,30902,Coolangatta,"5,933","15,435",38.4,2020-2021
Qld,30903,Gold Coast - North,"7,591","20,064",37.8,2020-2021
Qld,30904,Gold Coast Hinterland,"2,344","5,999",39.1,2020-2021
Qld,30905,Mudgeeraba - Tallebudgera,"3,405","9,158",37.2,2020-2021
Qld,30906,Nerang,"6,143","17,405",35.3,2020-2021
Qld,30907,Ormeau - Oxenford,"11,143","31,331",35.6,2020-2021
Qld,30908,Robina,"4,810","12,676",37.9,2020-2021
Qld,30909,Southport,"6,021","17,606",34.2,2020-2021
Qld,30910,Surfers Paradise,"3,933","11,023",35.7,2020-2021
Qld,31001,Forest Lake - Oxley,"5,624","16,117",34.9,2020-2021
Qld,31002,Ipswich Hinterland,"6,530","18,094",36.1,2020-2021
Qld,31003,Ipswich Inner,"8,559","25,721",33.3,2020-2021
Qld,31004,Springfield - Redbank,"5,364","17,490",30.7,2020-2021
Qld,31101,Beaudesert,"1,286","3,791",33.9,2020-2021
Qld,31102,Beenleigh,"3,099","9,978",31.1,2020-2021
Qld,31103,Browns Plains,"5,973","19,381",30.8,2020-2021
Qld,31104,Jimboomba,"4,260","12,618",33.8,2020-2021
Qld,31105,Loganlea - Carbrook,"4,907","14,401",34.1,2020-2021
Qld,31106,Springwood - Kingston,"5,674","18,528",30.6,2020-2021
Qld,31201,Bowen Basin - North,"2,167","6,643",32.6,2020-2021
Qld,31202,Mackay,"10,879","28,477",38.2,2020-2021
Qld,31203,Whitsunday,"2,071","5,496",37.7,2020-2021
Qld,31301,Bribie - Beachmere,"5,483","12,155",45.1,2020-2021
Qld,31302,Caboolture,"6,008","17,729",33.9,2020-2021
Qld,31303,Caboolture Hinterland,"1,388","3,488",39.8,2020-2021
Qld,31304,Narangba - Burpengary,"5,880","15,976",36.8,2020-2021
Qld,31305,Redcliffe,"7,545","18,916",39.9,2020-2021
Qld,31401,The Hills District,"9,051","21,111",42.9,2020-2021
Qld,31402,North Lakes,"5,563","15,379",36.2,2020-2021
Qld,31403,Strathpine,"3,409","9,463",36,2020-2021
Qld,31501,Far North,"1,722","6,977",24.7,2020-2021
Qld,31502,Outback - North,"1,235","5,898",20.9,2020-2021
Qld,31503,Outback - South,"1,524","4,479",34,2020-2021
Qld,31601,Buderim,"5,934","13,690",43.3,2020-2021
Qld,31602,Caloundra,"10,694","24,588",43.5,2020-2021
Qld,31603,Maroochy,"7,645","17,935",42.6,2020-2021
